"561712","ES","Murcia","2015-12-11T17:14:05+01:00",43.21
"K81938","FR","Nantes","2016-01-14T20:58:38+01:00",36.57
"41975","IT","Catania","2016-01-12T10:57:50+01:00",409.58
"538352","DE","Düsseldorf","2015-12-18T20:50:21+01:00",95.03
"V22211","GB","Nottingham","2015-12-31T11:17:59+00:00",872.03
"561729","FR","Marseille","2015-12-03T11:24:37+01:00",268.94
"J04077","GB","Bristol","2015-12-11T15:24:44+00:00",370.44
"RK17971","DE","Munich","2015-12-08T19:11:57+01:00",489.24
"676135","GB","Manchester","2015-12-04T19:37:33+00:00",491.40
"J22843","GB","Nottingham","2015-12-02T13:20:12+00:00",811.67
"741394","IT","Naples","2016-01-03T16:19:51+01:00",568.96
"791407","ES","Seville","2016-01-03T09:20:22+01:00",343.75
"545182","FR","Montpellier","2016-01-02T11:57:23+01:00",216.07
"568093","BG","Burgas","2016-01-10T19:36:36+02:00",480.54
"G44619","GB","Bristol","2016-01-15T11:52:42+00:00",675.81
"G17628","DE","Essen","2015-12-27T16:56:12+01:00",439.04
"G02745","BG","Varna","2015-12-05T16:55:19+02:00",501.21
"658514","ES","Barcelona","2015-12-07T17:23:12+01:00",298.66
"G16909","FR","Nantes","2015-12-07T18:08:27+01:00",34.59
"218962","DE","Essen","2015-12-11T19:11:37+01:00",305.07
"790903","FR","Paris","2015-12-03T11:13:11+01:00",279.56
"J22843","FR","Marseille","2016-01-12T15:50:16+01:00",586.21
"612003","DE","Bremen","2015-12-12T13:09:44+01:00",168.10
"G15208","IT","Venice-Padua","2015-12-16T15:27:16+01:00",49.27
"E81862","FR","Paris","2016-01-14T17:59:49+01:00",390.95
"E73835","FR","Toulouse","2015-12-20T08:53:05+01:00",71.11
"950271","GB","Leeds","2015-12-04T12:26:57+00:00",895.43
"519041","GB","Nottingham","2015-12-23T14:30:07+00:00",521.53
"E81862","GB","Edinburgh","2015-12-22T10:20:49+00:00",541.31
"534116","GB","Leeds","2015-12-07T16:37:27+00:00",611.26
"E18480","ES","Seville","2016-01-20T11:15:13+01:00",405.57
"538003","GB","Manchester","2016-01-18T09:48:09+00:00",675.52
"557947","GB","Edinburgh","2016-01-13T09:48:36+00:00",834.37
"781834","BG","Varna","2015-12-19T13:27:03+02:00",433.90
"G00132","IT","Milan","2016-01-19T18:06:11+01:00",580.93
"37452","FR","Nice","2016-01-01T13:03:06+01:00",191.87
"X13062","ES","Seville","2015-12-23T12:44:04+01:00",96.47
"G15163","DE","Stuttgart","2016-01-10T11:46:34+01:00",207.81
"E81862","GB","Birmingham","2015-12-18T13:32:45+00:00",541.31
"790809","IT","Palermo","2015-12-27T19:20:23+01:00",261.68
"K82916","DE","Dortmund","2016-01-18T13:42:01+01:00",66.25
"146541","ES","Madrid","2015-12-03T10:41:20+01:00",64.51
"G13433","IT","Florence","2016-01-19T12:16:24+01:00",71.32
"G16908","FR","Lyon","2015-12-29T15:26:04+01:00",552.64
"538352","DE","Nuremberg","2015-12-27T09:16:07+01:00",95.03
"671507","GB","London","2015-12-05T10:07:58+00:00",200.34
"652456","IT","Catania","2016-01-24T09:29:47+01:00",194.74
"537998","FR","Nice","2015-12-25T14:44:42+01:00",640.60
"G02367","ES","Zaragoza","2016-01-12T16:33:37+01:00",272.59
"519041","IT","Milan","2015-12-04T14:35:25+01:00",347.69
"671507","FR","Bordeaux","2015-12-14T09:30:02+01:00",144.69
"507813","BG","Burgas","2015-12-07T17:02:30+02:00",212.79
"538352","DE","Munich","2015-12-09T14:57:34+01:00",95.03
"534116","GB","London","2015-12-15T08:11:21+00:00",611.26
"690673","IT","Bari","2016-01-04T17:11:12+01:00",368.10
"611975","BG","Plovdiv","2015-12-20T12:57:54+02:00",226.44
"J11328","FR","Nice","2016-01-07T14:42:09+01:00",545.26
"807426","IT","Rome","2015-12-03T09:22:49+01:00",476.22
"749131","BG","Pleven","2015-12-15T15:03:02+02:00",102.65
"E85234","DE","Berlin","2016-01-16T08:43:13+01:00",48.25
"W07691","IT","Florence","2015-12-16T20:59:14+01:00",154.28
"V34848","BG","Sofia","2015-12-17T20:04:49+02:00",267.81
"42102","FR","Montpellier","2015-12-16T09:49:00+01:00",254.49
"G15933","IT","Naples","2016-01-08T14:39:28+01:00",477.31
"G02745","DE","Hanover","2015-12-24T09:14:18+01:00",443.55
"G15163","DE","Frankfurt am Main","2015-12-19T14:06:06+01:00",207.81
"618577","BG","Veliko Tarnovo","2015-12-16T12:02:06+02:00",462.46
"616906","ES","Málaga","2015-12-22T20:13:26+01:00",174.36
"557947","BG","Burgas","2016-01-05T16:59:22+02:00",523.80
"V39150","FR","Nice","2015-12-15T15:32:05+01:00",142.83
"J84595","GB","Bristol","2015-12-30T17:56:40+00:00",415.15
"617165","FR","Paris","2016-01-21T14:34:59+01:00",174.98
"V39150","FR","Toulouse","2015-12-03T14:13:11+01:00",142.83
"553314","IT","Venice-Padua","2015-12-27T12:15:36+01:00",460.86
"J04077","DE","Munich","2015-12-31T17:13:07+01:00",205.80
"561729","BG","Burgas","2015-12-11T12:49:32+02:00",233.77
"G13433","BG","Varna","2015-12-05T15:06:30+02:00",67.16
"113899","ES","Bilbao","2016-01-19T16:03:00+01:00",113.00
"749131","GB","London","2015-12-27T20:04:47+00:00",163.51
"K41607","FR","Nantes","2016-01-23T18:58:29+01:00",42.82
"694894","DE","Stuttgart","2015-12-29T18:29:46+01:00",485.83
"658507","DE","Munich","2016-01-15T20:35:02+01:00",312.43
"618577","GB","London","2016-01-07T14:03:40+00:00",736.67
"42102","DE","Frankfurt am Main","2015-12-02T09:43:43+01:00",195.76
"J04077","ES","Valencia","2015-12-31T12:11:32+01:00",185.22
"549057","BG","Burgas","2016-01-11T14:23:13+02:00",401.26
"791442","BG","Ruse","2016-01-06T15:15:01+02:00",188.94
"658514","DE","Berlin","2015-12-22T10:12:17+01:00",331.85
"537990","IT","Palermo","2015-12-01T18:43:09+01:00",246.20
"665648","ES","Murcia","2016-01-07T17:45:52+01:00",287.89
"16157","GB","Liverpool","2015-12-26T10:23:42+00:00",328.64
"37452","DE","Munich","2016-01-12T14:46:14+01:00",147.59
"38687","GB","Leeds","2015-12-02T10:34:49+00:00",35.51
"38687","FR","Marseille","2015-12-26T15:24:56+01:00",25.65
"42102","GB","Birmingham","2015-12-14T20:40:33+00:00",352.37
"41982","DE","Hamburg","2015-12-27T12:31:25+01:00",273.36
"U43902","GB","Glasgow","2015-12-30T15:56:59+00:00",434.41
"607844","IT","Catania","2015-12-16T20:32:14+01:00",139.80
"O12998","ES","Seville","2016-01-08T11:28:19+01:00",167.25
"V39150","GB","Leeds","2015-12-28T15:08:50+00:00",197.77
"89425","GB","Bristol","2016-01-11T13:21:06+00:00",272.97
"41980","BG","Burgas","2016-01-08T18:28:24+02:00",15.67
"658514","DE","Hanover","2016-01-13T11:13:47+01:00",331.85
"790809","DE","Dortmund","2015-12-04T18:30:46+01:00",218.07
"38687","ES","Murcia","2016-01-05T18:47:53+01:00",17.76
"153654","GB","Bristol","2015-12-25T11:26:07+00:00",753.19
"E18480","GB","Manchester","2016-01-17T09:52:49+00:00",811.13
"K82916","DE","Essen","2016-01-08T19:37:18+01:00",66.25
"E85234","IT","Milan","2016-01-04T17:42:10+01:00",57.90
"545187","ES","Murcia","2015-12-08T12:58:40+01:00",314.98
"749131","GB","Edinburgh","2015-12-15T11:53:08+00:00",163.51
"791442","DE","Hanover","2016-01-06T12:16:33+01:00",167.20
"41982","DE","Düsseldorf","2015-12-17T15:16:34+01:00",273.36
"G02367","DE","Leipzig","2016-01-22T17:06:25+01:00",302.88
"38698","ES","Madrid","2016-01-06T09:37:44+01:00",181.68
"G13130","GB","Birmingham","2015-12-23T18:31:20+00:00",203.35
"E34909","ES","Zaragoza","2015-12-05T18:59:40+01:00",246.16
"40131","DE","Dortmund","2015-12-21T20:37:26+01:00",488.39
"537988","ES","Madrid","2016-01-17T12:48:03+01:00",348.34
"G17598","FR","Nantes","2015-12-29T18:58:02+01:00",225.32
"89425","FR","Marseille","2015-12-01T08:09:07+01:00",197.14
"549057","ES","Seville","2016-01-08T08:24:47+01:00",319.59
"552581","BG","Plovdiv","2015-12-21T16:32:41+02:00",555.00
"V39150","DE","Bremen","2016-01-08T10:16:07+01:00",109.87
"153654","GB","Edinburgh","2016-01-14T10:00:42+00:00",753.19
"318179","DE","Hanover","2015-12-16T12:23:41+01:00",460.08
"676135","GB","Birmingham","2016-01-01T15:06:35+00:00",491.40
"906577","DE","Cologne","2015-12-05T13:29:41+01:00",292.52
"537990","ES","Zaragoza","2016-01-17T11:45:38+01:00",184.65
"V39150","IT","Rome","2016-01-13T17:41:27+01:00",131.84
"G02728","GB","Nottingham","2015-12-29T15:58:17+00:00",637.06
"J04077","GB","Leeds","2016-01-22T15:22:12+00:00",370.44
"G00130","IT","Naples","2016-01-11T17:16:31+01:00",64.64
"E81862","DE","Bremen","2016-01-01T20:31:54+01:00",300.73
"665648","GB","Liverpool","2015-12-22T12:48:51+00:00",575.78
"P46319","GB","Leeds","2015-12-05T20:19:47+00:00",397.35
"790802","GB","Manchester","2016-01-05T14:49:47+00:00",110.16
"561712","DE","Bremen","2015-12-10T15:58:18+01:00",48.01
"658514","DE","Munich","2016-01-14T20:49:43+01:00",331.85
"790802","DE","Leipzig","2015-12-22T20:00:06+01:00",61.20
"X35603","ES","Barcelona","2016-01-18T10:51:37+01:00",196.31
"676135","DE","Munich","2016-01-24T15:28:48+01:00",273.00
"667848","BG","Plovdiv","2015-12-14T14:45:52+02:00",374.80
"G03721","DE","Duisburg","2015-12-20T20:06:22+01:00",34.73
"618891","GB","Edinburgh","2015-12-08T19:35:59+00:00",80.68
"37452","GB","London","2015-12-06T08:48:02+00:00",265.66
"790903","DE","Hanover","2016-01-14T12:42:15+01:00",215.05
"537988","DE","Nuremberg","2015-12-23T16:17:17+01:00",387.04
"791407","IT","Bari","2015-12-25T15:19:27+01:00",458.33
"618577","DE","Nuremberg","2015-12-10T09:43:49+01:00",409.26
"558218","ES","Zaragoza","2015-12-01T08:58:16+01:00",10.30
"616734","BG","Burgas","2016-01-13T08:04:51+02:00",412.89
"E18480","FR","Montpellier","2015-12-11T09:27:48+01:00",585.82
"42259","BG","Sofia","2015-12-06T17:58:41+02:00",209.94
"U44197","GB","Manchester","2015-12-16T18:55:45+00:00",524.84
"G02728","ES","Barcelona","2016-01-23T13:08:56+01:00",318.53
"793989","BG","Pleven","2015-12-18T13:08:53+02:00",198.57
"V35987","GB","Manchester","2015-12-01T09:31:55+00:00",131.24
"G15163","GB","Birmingham","2015-12-25T18:50:25+00:00",374.06
"545187","GB","Edinburgh","2015-12-26T12:50:07+00:00",629.96
"557428","DE","Dortmund","2016-01-09T19:03:33+01:00",267.42
"U43752","FR","Strasbourg","2016-01-19T15:43:10+01:00",624.43
"K82916","ES","Zaragoza","2015-12-16T13:19:13+01:00",59.62
"K41623","ES","Barcelona","2015-12-17T12:31:01+01:00",407.04
"153775","FR","Marseille","2015-12-27T14:51:59+01:00",593.32
"749131","FR","Toulouse","2016-01-01T13:21:10+01:00",118.09
"E85243","DE","Berlin","2015-12-15T19:45:58+01:00",225.55
"557947","GB","Nottingham","2016-01-10T08:32:21+00:00",834.37
"370422","DE","Hamburg","2016-01-13T14:00:22+01:00",32.80
"44592","GB","Glasgow","2016-01-12T20:45:58+00:00",111.11
"552583","DE","Munich","2015-12-23T15:21:47+01:00",53.86
"682190","BG","Veliko Tarnovo","2015-12-22T09:31:16+02:00",474.74
"G02729","DE","Bremen","2015-12-18T12:41:33+01:00",322.35
"790903","BG","Plovdiv","2016-01-13T19:18:11+02:00",243.01
"616734","FR","Marseille","2016-01-11T17:30:22+01:00",475.01
"507813","GB","Nottingham","2016-01-24T10:27:02+00:00",338.96
"P46319","GB","Glasgow","2015-12-22T09:38:27+00:00",397.35
"507813","DE","Essen","2016-01-18T12:56:37+01:00",188.31
"538009","DE","Bremen","2016-01-07T11:34:27+01:00",415.42
"901799","IT","Rome","2015-12-09T12:30:57+01:00",506.64
"561488","DE","Berlin","2015-12-21T19:34:58+01:00",146.63
"658514","BG","Veliko Tarnovo","2015-12-30T14:49:54+02:00",374.99
"561729","DE","Nuremberg","2016-01-04T12:14:10+01:00",206.88
"32918","FR","Montpellier","2015-12-17T14:50:33+01:00",97.46
"U43752","ES","Seville","2015-12-02T18:04:31+01:00",432.30
"38698","DE","Essen","2015-12-06T10:25:36+01:00",201.87
"774776","IT","Florence","2015-12-27T11:34:35+01:00",452.46
"J84595","ES","Seville","2015-12-05T13:58:07+01:00",207.58
"665648","DE","Dortmund","2016-01-16T12:59:18+01:00",319.88
"507628","DE","Cologne","2016-01-18T19:07:22+01:00",325.61
"U43902","DE","Frankfurt am Main","2015-12-29T18:23:55+01:00",241.34
"61016","DE","Dortmund","2015-12-06T13:36:44+01:00",452.55
"41982","FR","Nantes","2015-12-12T15:17:58+01:00",355.37
"519041","GB","London","2015-12-20T15:22:12+00:00",521.53
"145958","GB","Edinburgh","2015-12-19T13:20:38+00:00",431.15
"V43493","IT","Palermo","2016-01-18T12:48:04+01:00",141.04
"790802","BG","Veliko Tarnovo","2016-01-24T10:03:34+02:00",69.16
